GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CS5004 Assignment,edu.neu.ccs.cs5004.problem1.toddler,toddlerTeacher,22,120,5,5,6,18,6,8,1,8
CS5004 Assignment,edu.neu.ccs.cs5004.problem1.substitute,substituteTeacher,4,73,3,3,2,10,3,4,0,4
CS5004 Assignment,edu.neu.ccs.cs5004.problem1.substitute,abstractSubstituteTeacher,28,37,0,0,12,14,5,7,5,7
CS5004 Assignment,edu.neu.ccs.cs5004.problem2.exceptions,TooManyFloorsException,0,4,0,0,0,2,0,1,0,1
CS5004 Assignment,edu.neu.ccs.cs5004.problem2.service,abstractService,0,155,0,12,0,44,0,22,0,16
CS5004 Assignment,edu.neu.ccs.cs5004.problem2,PropertySizeEnum,9,39,0,0,0,4,2,2,2,2
CS5004 Assignment,edu.neu.ccs.cs5004.problem1,abstractTeacher,45,148,15,3,8,32,9,16,0,16
CS5004 Assignment,edu.neu.ccs.cs5004.problem1,Name,0,23,0,0,0,10,0,5,0,5
CS5004 Assignment,edu.neu.ccs.cs5004.problem3.row,WheelChairRow,0,17,0,0,0,6,0,2,0,2
CS5004 Assignment,edu.neu.ccs.cs5004.problem3.row,StandardRow,0,17,0,0,0,6,0,2,0,2
CS5004 Assignment,edu.neu.ccs.cs5004.problem3.row,AbstractRow,0,24,0,0,0,8,0,4,0,4
CS5004 Assignment,edu.neu.ccs.cs5004.problem3.theater,Theater,32,0,2,0,11,0,5,0,4,0
CS5004 Assignment,edu.neu.ccs.cs5004.problem3.exceptions,AlphabetOnly,0,4,0,0,0,2,0,1,0,1
CS5004 Assignment,edu.neu.ccs.cs5004.problem3.exceptions,WheelChairAccessibility,4,0,0,0,2,0,1,0,1,0
CS5004 Assignment,edu.neu.ccs.cs5004.problem1.infant,infantTeacher,21,120,5,5,6,17,6,8,1,8
CS5004 Assignment,edu.neu.ccs.cs5004.problem2.interior,Cleaning,0,41,0,0,0,7,0,2,0,2
CS5004 Assignment,edu.neu.ccs.cs5004.problem2.interior,abstractInterior,2,127,2,12,1,29,2,12,0,7
CS5004 Assignment,edu.neu.ccs.cs5004.problem2.interior,Painting,0,41,0,0,0,7,0,2,0,2
CS5004 Assignment,edu.neu.ccs.cs5004.problem1.preschool,preschoolTeacher,20,91,3,3,6,12,4,6,1,6
CS5004 Assignment,edu.neu.ccs.cs5004.problem3.seat,Seat,0,47,0,2,0,17,0,8,0,7
CS5004 Assignment,edu.neu.ccs.cs5004.problem2.exterior,Gardening,0,49,0,0,0,9,0,4,0,4
CS5004 Assignment,edu.neu.ccs.cs5004.problem2.exterior,windowCleaning,2,63,2,4,1,11,2,4,0,3
CS5004 Assignment,edu.neu.ccs.cs5004.problem2.exterior,abstractExterior,0,100,0,4,0,24,0,10,0,8
